sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
1,M,56.88,Central,70.51,Central,Science,68.51,B.Tech,No,80.13,Civil,60.35,Not Placed,
2,M,62.75,Central,48.03,Others,Science,60.94,B.Tech,Yes,57.1,Electronics & Comm,53.7,Not Placed,
3,F,79.34,Others,65.85,Central,Science,50.0,B.Tech,Yes,81.43,Information Technology,60.19,Placed,798000
4,M,76.23,Central,53.57,Others,Science,54.05,B.Tech,No,70.36,Information Technology,50.0,Not Placed,
5,F,57.56,Central,75.64,Others,Science,89.9,B.Tech,No,71.16,Information Technology,78.13,Not Placed,
6,F,58.47,Central,55.47,Central,Science,50.0,B.Tech,Yes,51.6,Electronics & Comm,70.09,Not Placed,
7,F,58.93,Others,74.29,Others,Science,68.17,B.Tech,No,65.05,Civil,58.84,Not Placed,
8,F,67.28,Central,78.04,Others,Science,69.25,B.Tech,No,86.46,Electronics & Comm,50.0,Placed,674000
9,M,68.87,Central,63.71,Central,Science,64.02,B.Tech,No,72.29,Electronics & Comm,77.98,Not Placed,
10,F,76.24,Central,65.84,Central,Science,57.4,B.Tech,No,63.87,Mechanical,71.01,Not Placed,
11,F,76.5,Central,52.58,Central,Science,58.17,B.Tech,No,61.92,Civil,56.23,Not Placed,
12,M,77.15,Central,45.0,Central,Science,77.37,B.Tech,Yes,77.81,Electronics & Comm,56.56,Placed,737000
13,M,92.63,Central,64.88,Central,Science,68.71,B.Tech,No,81.71,Electronics & Comm,71.02,Placed,595000
14,F,82.01,Central,72.64,Central,Science,70.89,B.Tech,No,77.48,Mechanical,68.45,Not Placed,
15,M,52.49,Others,67.75,Central,Science,57.73,B.Tech,No,86.6,Computer Science,74.35,Not Placed,
16,M,76.73,Others,60.12,Others,Science,61.3,B.Tech,No,68.75,Electronics & Comm,69.01,Not Placed,
17,M,76.16,Others,72.19,Central,Science,73.69,B.Tech,Yes,89.46,Computer Science,66.4,Placed,624000
18,F,75.35,Central,56.5,Central,Science,72.93,B.Tech,No,83.22,Computer Science,68.34,Not Placed,
19,F,49.13,Central,70.47,Central,Science,66.53,B.Tech,No,50.0,Computer Science,58.22,Not Placed,
20,M,74.26,Central,57.57,Central,Science,56.36,B.Tech,No,73.79,Civil,69.86,Not Placed,
21,F,64.51,Central,90.31,Others,Science,79.92,B.Tech,Yes,56.61,Computer Science,60.22,Placed,757000
22,F,55.54,Others,57.28,Others,Science,67.38,B.Tech,No,68.7,Information Technology,55.86,Not Placed,
23,F,72.19,Others,58.99,Central,Science,52.04,B.Tech,No,61.87,Mechanical,69.12,Not Placed,
24,F,95.0,Others,69.56,Central,Science,67.59,B.Tech,Yes,69.98,Electronics & Comm,58.15,Placed,560000
25,F,71.57,Central,57.18,Others,Science,62.99,B.Tech,No,74.59,Mechanical,54.83,Not Placed,
26,M,84.64,Central,58.87,Central,Science,65.04,B.Tech,No,62.17,Information Technology,58.83,Not Placed,
27,M,84.61,Central,86.42,Others,Science,69.64,B.Tech,Yes,93.47,Electronics & Comm,73.26,Placed,810000
28,M,60.92,Central,71.88,Central,Science,72.97,B.Tech,Yes,50.0,Computer Science,56.8,Placed,685000
29,F,69.39,Others,67.02,Others,Science,72.8,B.Tech,No,74.81,Information Technology,66.19,Placed,670000
30,M,69.26,Central,60.23,Others,Science,85.0,B.Tech,No,73.27,Information Technology,64.13,Placed,584000
31,M,61.01,Central,50.02,Others,Science,76.05,B.Tech,No,54.5,Electronics & Comm,75.26,Not Placed,
32,M,77.52,Others,82.98,Others,Science,60.33,B.Tech,Yes,78.52,Computer Science,79.96,Placed,816000
33,M,72.92,Others,50.2,Others,Science,72.88,B.Tech,No,54.67,Electronics & Comm,75.44,Not Placed,
34,F,68.21,Central,64.02,Others,Science,60.48,B.Tech,No,90.95,Civil,73.52,Placed,671000
35,M,89.43,Others,63.23,Others,Science,68.24,B.Tech,No,71.89,Electronics & Comm,78.4,Placed,638000
36,F,62.36,Central,69.69,Central,Science,61.44,B.Tech,No,62.35,Civil,66.86,Not Placed,
37,F,70.9,Others,64.94,Central,Science,64.53,B.Tech,Yes,90.33,Electronics & Comm,58.67,Placed,600000
38,M,82.44,Others,45.94,Others,Science,70.99,B.Tech,No,76.8,Mechanical,64.13,Not Placed,
39,F,72.02,Central,67.77,Others,Science,74.85,B.Tech,Yes,73.68,Information Technology,65.43,Placed,668000
40,F,58.33,Others,82.8,Others,Science,59.68,B.Tech,No,66.28,Mechanical,60.2,Not Placed,
41,M,55.91,Central,84.48,Central,Science,54.07,B.Tech,No,58.75,Computer Science,59.84,Not Placed,
42,M,51.99,Central,85.53,Others,Science,50.43,B.Tech,Yes,69.7,Civil,73.3,Placed,746000
43,F,63.31,Central,48.16,Others,Science,78.18,B.Tech,No,66.63,Electronics & Comm,74.9,Not Placed,
44,M,70.19,Central,61.67,Others,Science,67.5,B.Tech,No,77.69,Information Technology,61.4,Not Placed,
45,M,74.23,Others,51.95,Others,Science,70.82,B.Tech,No,58.07,Information Technology,62.57,Not Placed,
46,M,62.82,Others,76.82,Others,Science,60.93,B.Tech,No,98.0,Civil,76.91,Placed,653000
47,M,50.69,Central,82.89,Others,Science,67.8,B.Tech,No,50.0,Mechanical,66.76,Not Placed,
48,F,49.16,Central,72.07,Central,Science,71.27,B.Tech,Yes,50.0,Electronics & Comm,74.65,Not Placed,
49,M,46.25,Others,89.35,Central,Science,57.83,B.Tech,No,74.73,Computer Science,64.5,Not Placed,
50,M,77.55,Central,58.03,Central,Science,60.97,B.Tech,Yes,50.79,Information Technology,63.47,Placed,585000
51,M,56.4,Central,68.35,Central,Science,83.76,B.Tech,Yes,70.18,Mechanical,58.8,Placed,729000
52,F,45.0,Central,85.09,Central,Science,63.76,B.Tech,Yes,74.92,Electronics & Comm,67.49,Placed,681000
53,M,58.44,Central,58.68,Central,Science,53.2,B.Tech,Yes,60.24,Mechanical,56.35,Placed,632000
54,M,46.89,Others,95.31,Others,Science,60.38,B.Tech,No,85.75,Information Technology,80.89,Not Placed,
55,M,77.26,Central,88.0,Others,Science,53.41,B.Tech,Yes,74.76,Mechanical,71.38,Placed,672000
56,F,85.95,Others,66.18,Others,Science,50.28,B.Tech,No,98.0,Civil,60.48,Not Placed,
57,M,57.98,Central,69.86,Central,Science,57.86,B.Tech,No,67.21,Electronics & Comm,55.31,Not Placed,
58,M,88.67,Central,45.61,Central,Science,60.76,B.Tech,Yes,71.13,Computer Science,69.24,Placed,798000
59,M,73.77,Others,64.77,Others,Science,69.34,B.Tech,No,60.75,Mechanical,70.34,Not Placed,
60,M,66.11,Others,72.85,Others,Science,72.27,B.Tech,No,61.11,Information Technology,59.55,Not Placed,
61,M,85.09,Central,76.07,Others,Science,68.25,B.Tech,No,77.67,Computer Science,67.62,Not Placed,
62,M,65.81,Others,57.27,Others,Science,68.58,B.Tech,No,57.5,Civil,61.8,Not Placed,
63,F,76.28,Others,78.11,Central,Science,71.93,B.Tech,No,57.09,Information Technology,73.3,Placed,575000
64,F,65.3,Others,56.23,Central,Science,72.81,B.Tech,No,56.93,Electronics & Comm,68.31,Not Placed,
65,M,86.77,Central,68.88,Central,Science,73.52,B.Tech,No,70.17,Computer Science,86.15,Placed,672000
66,M,83.65,Others,80.25,Central,Science,72.05,B.Tech,Yes,64.05,Information Technology,61.24,Placed,721000
67,F,78.94,Central,65.26,Others,Science,62.16,B.Tech,Yes,55.85,Computer Science,51.76,Not Placed,
68,F,52.44,Others,45.0,Others,Science,70.25,B.Tech,Yes,50.0,Civil,63.15,Not Placed,
69,F,74.96,Central,55.81,Others,Science,70.65,B.Tech,Yes,58.41,Civil,63.68,Placed,627000
70,M,56.82,Central,60.76,Central,Science,76.16,B.Tech,No,81.03,Electronics & Comm,61.84,Placed,608000
71,M,83.04,Central,80.71,Central,Science,50.0,B.Tech,Yes,51.11,Information Technology,58.78,Placed,725000
72,M,80.72,Central,74.94,Central,Science,55.84,B.Tech,Yes,61.71,Computer Science,68.91,Placed,736000
73,F,74.23,Others,48.37,Central,Science,57.9,B.Tech,No,76.27,Civil,68.73,Not Placed,
74,F,73.27,Others,69.88,Central,Science,61.87,B.Tech,Yes,81.06,Mechanical,54.76,Placed,826000
75,M,70.11,Others,65.94,Central,Science,65.66,B.Tech,No,81.24,Computer Science,83.23,Not Placed,
76,F,45.0,Central,73.79,Central,Science,55.2,B.Tech,Yes,71.57,Civil,69.98,Placed,535000
77,M,73.52,Others,61.84,Central,Science,70.74,B.Tech,Yes,87.45,Computer Science,77.56,Placed,807000
78,M,70.57,Others,46.6,Others,Science,57.09,B.Tech,Yes,69.77,Civil,63.22,Not Placed,
79,M,81.41,Central,57.28,Others,Science,84.73,B.Tech,No,64.35,Civil,50.96,Not Placed,
80,M,66.76,Others,71.12,Central,Science,56.56,B.Tech,Yes,55.45,Civil,50.76,Not Placed,
81,M,75.08,Others,60.81,Others,Science,71.6,B.Tech,Yes,50.0,Mechanical,70.31,Placed,796000
82,M,80.85,Others,74.58,Others,Science,78.19,B.Tech,Yes,80.34,Information Technology,71.55,Placed,745000
83,F,72.47,Others,64.65,Others,Science,76.16,B.Tech,No,67.04,Information Technology,82.53,Not Placed,
84,M,71.4,Others,78.21,Others,Science,65.55,B.Tech,No,85.33,Computer Science,50.0,Not Placed,
85,F,69.45,Central,85.85,Others,Science,56.15,B.Tech,No,50.0,Electronics & Comm,65.66,Not Placed,
86,F,78.65,Others,80.45,Central,Science,59.85,B.Tech,No,79.04,Computer Science,67.51,Not Placed,
87,M,83.8,Central,61.25,Central,Science,53.9,B.Tech,Yes,56.98,Civil,64.72,Placed,680000
88,F,77.84,Others,64.65,Central,Science,55.9,B.Tech,No,72.59,Electronics & Comm,74.11,Not Placed,
89,F,64.68,Central,65.59,Central,Science,61.49,B.Tech,No,73.62,Computer Science,69.07,Not Placed,
90,F,51.01,Central,68.95,Central,Science,86.12,B.Tech,No,60.01,Computer Science,77.38,Placed,802000
91,F,61.87,Others,62.74,Others,Science,68.57,B.Tech,No,72.01,Civil,57.75,Not Placed,
92,M,77.75,Others,67.5,Others,Science,60.32,B.Tech,Yes,78.89,Electronics & Comm,65.29,Placed,736000
